market,date,ns_target
Poland,01-12-2020,829733.69
Poland,01-01-2021,470645.34
Poland,01-02-2021,424879.49
Poland,01-03-2021,358087.13
Poland,01-04-2021,428254.96
Poland,01-05-2021,505628.47
Poland,01-06-2021,422544.07
Poland,01-07-2021,471222.93
Poland,01-08-2021,350920.69
Portugal,01-09-2020,1050726.38
Portugal,01-10-2020,972722.31
Portugal,01-11-2020,1909553.39
Portugal,01-12-2020,1368487.25
Portugal,01-01-2021,858898.86
Portugal,01-02-2021,730646.84
Portugal,01-03-2021,993790
Portugal,01-04-2021,892881.08
Portugal,01-05-2021,1125062.28
Portugal,01-06-2021,784587.88
Portugal,01-07-2021,833754.48
Portugal,01-08-2021,816190.77
South Korea,01-09-2020,3949776.05
South Korea,01-10-2020,3315567.73
South Korea,01-11-2020,6799611.02
South Korea,01-12-2020,8469795.4
South Korea,01-01-2021,3379118.98
South Korea,01-02-2021,3081627.43
South Korea,01-03-2021,3859572.58
South Korea,01-04-2021,4666981.6
South Korea,01-05-2021,3762675.32
South Korea,01-06-2021,2403694.78
South Korea,01-07-2021,4838713.61
South Korea,01-08-2021,4799518.5
Spain,01-09-2020,1090513.45
Spain,01-10-2020,1523460.78
Spain,01-11-2020,1733917.02
Spain,01-12-2020,1835865.66
Spain,01-01-2021,919055.1
Spain,01-02-2021,1234595.4
Spain,01-03-2021,941770.7
Spain,01-04-2021,934432.05
Spain,01-05-2021,1153944.2
Spain,01-06-2021,1200586.3
Spain,01-07-2021,846146.46
Spain,01-08-2021,989880.78
Sweden,01-09-2020,101834.57
Sweden,01-10-2020,223872.25
Sweden,01-11-2020,270638.39
Sweden,01-12-2020,259181.46
Sweden,01-01-2021,99281.82
Sweden,01-02-2021,134578.91
Sweden,01-03-2021,165758.35
Sweden,01-04-2021,163820.08
Sweden,01-05-2021,133049.1
Sweden,01-06-2021,124328.48
Sweden,01-07-2021,158764.52
Sweden,01-08-2021,129150.11
United Kingdom,01-09-2020,2437003.82
United Kingdom,01-10-2020,3236861.62
United Kingdom,01-11-2020,5107441.6
United Kingdom,01-12-2020,5065575.96
United Kingdom,01-01-2021,2737875.91
United Kingdom,01-02-2021,2625635.14
United Kingdom,01-03-2021,2985011.14
United Kingdom,01-04-2021,2540516.26
United Kingdom,01-05-2021,2451400.85
United Kingdom,01-06-2021,2463554.36
United Kingdom,01-07-2021,2297451.68
United Kingdom,01-08-2021,3183404.44
USA,01-09-2020,7274757.71
USA,01-10-2020,9766528.47
USA,01-11-2020,10346893.72
USA,01-12-2020,9939351.36
USA,01-01-2021,7319956.7
USA,01-02-2021,7354802.75
USA,01-03-2021,7218790.79
USA,01-04-2021,7463149.94
USA,01-05-2021,8638751.47
USA,01-06-2021,7841366.76
USA,01-07-2021,8150868.49
USA,01-08-2021,6700915.03
